,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,qast0001.xml,1,1,1,ιστον,arc,0,,,,,
1,1,qast0001.xml,2,1,1,τὸν,arc,0,,,,,
2,2,qast0001.xml,3,1,1,οἶκον,arc,0,,,,,
3,3,qast0001.xml,4,1,1,ἐν,arc,0,,,,,
4,4,qast0001.xml,5,1,1,ῆς,arc,0,,,,,
5,5,qast0001.xml,6,1,1,κώμης,arc,0,,,,,
6,6,qast0001.xml,7,1,1,ταύτηις,arc,0,,,,,
7,7,qast0001.xml,8,1,1,לינה,arc,0,,,,,
8,8,qast0001.xml,9,2,2,אדכר,arc,0,,,,,
9,9,qast0001.xml,10,2,2,מרא,arc,0,,,,,
10,10,qast0001.xml,11,2,2,עבד,arc,0,,,,,
11,11,qast0001.xml,12,2,2,ללו,arc,0,,,,,
